Category: Pets & Animals

Week,Sea lions: (United States),flycatchers: (United States),Tortoise: (United States),Bull trout: (United States),Sturgeons: (United States)
2012-01-01,4,0,37,0,6
2012-01-08,5,0,46,0,5
2012-01-15,5,<1,36,0,7
2012-01-22,5,0,40,0,4
2012-01-29,5,0,38,<1,10
2012-02-05,5,<1,37,0,7
2012-02-12,13,<1,35,<1,9
2012-02-19,4,0,38,0,11
2012-02-26,5,<1,43,0,7
2012-03-04,3,<1,45,0,7
2012-03-11,9,0,40,0,6
2012-03-18,5,<1,43,0,23
2012-03-25,5,<1,44,0,100
2012-04-01,5,<1,43,<1,25
2012-04-08,6,<1,45,0,17
2012-04-15,6,<1,50,0,9
2012-04-22,7,0,49,0,8
2012-04-29,6,1,50,0,10
2012-05-06,5,<1,51,0,14
2012-05-13,5,1,53,0,15
2012-05-20,7,1,50,0,10
2012-05-27,5,<1,51,<1,11
2012-06-03,7,<1,43,0,8
2012-06-10,6,1,60,0,7
2012-06-17,6,1,54,<1,7
2012-06-24,6,<1,97,0,9
2012-07-01,5,<1,55,<1,9
2012-07-08,5,1,43,<1,6
2012-07-15,5,0,50,0,9
2012-07-22,5,<1,52,0,24
2012-07-29,6,0,54,0,12
2012-08-05,7,0,47,0,10
2012-08-12,8,<1,49,0,8
2012-08-19,5,<1,48,<1,7
2012-08-26,4,<1,51,<1,10
2012-09-02,4,1,49,0,10
2012-09-09,5,<1,48,0,6
2012-09-16,4,<1,39,0,3
2012-09-23,4,1,51,0,8
2012-09-30,3,<1,45,0,8
2012-10-07,4,<1,43,<1,8
2012-10-14,5,<1,46,0,4
2012-10-21,4,<1,41,<1,5
2012-10-28,4,<1,41,0,7
2012-11-04,5,1,39,0,5
2012-11-11,4,1,41,0,5
2012-11-18,4,<1,43,0,4
2012-11-25,4,1,41,0,5
2012-12-02,3,<1,40,0,4
2012-12-09,5,0,43,0,7
2012-12-16,2,<1,40,<1,3
2012-12-23,2,0,43,<1,7
2012-12-30,5,0,40,0,7
2013-01-06,4,0,42,0,7
2013-01-13,5,<1,39,0,8
2013-01-20,5,<1,43,0,5
2013-01-27,8,<1,49,0,5
2013-02-03,6,<1,56,0,9
2013-02-10,6,<1,43,0,9
2013-02-17,5,0,45,0,7
2013-02-24,6,0,46,0,6
2013-03-03,6,<1,46,0,5
2013-03-10,6,0,45,0,6
2013-03-17,6,<1,50,0,8
2013-03-24,14,<1,54,0,7
2013-03-31,11,<1,41,0,5
2013-04-07,6,0,51,<1,7
2013-04-14,6,<1,48,0,9
2013-04-21,6,<1,46,0,7
2013-04-28,8,<1,52,<1,11
2013-05-05,9,<1,46,0,10
2013-05-12,7,<1,59,<1,9
2013-05-19,7,1,55,<1,8
2013-05-26,8,1,56,0,12
2013-06-02,6,<1,50,0,9
2013-06-09,10,<1,50,0,9
2013-06-16,6,<1,47,0,10
2013-06-23,6,<1,50,<1,8
2013-06-30,5,0,53,0,8
2013-07-07,4,<1,55,0,10
2013-07-14,6,<1,51,0,9
2013-07-21,5,0,54,0,10
2013-07-28,5,0,52,<1,7
2013-08-04,7,<1,47,0,17
2013-08-11,5,<1,47,0,6
2013-08-18,4,<1,45,0,12
2013-08-25,4,<1,49,<1,9
