Category: Pets & Animals

Week,Bowhead whale: (United States),Owls: (United States),Delta smelt: (United States),Chum salmon: (United States),Sturgeons: (United States)
2012-01-01,1,74,0,0,5
2012-01-08,1,88,0,<1,4
2012-01-15,1,70,0,<1,5
2012-01-22,1,85,0,0,4
2012-01-29,1,99,0,0,8
2012-02-05,2,84,<1,0,5
2012-02-12,1,74,0,<1,7
2012-02-19,5,81,0,0,9
2012-02-26,2,86,<1,0,6
2012-03-04,1,81,0,<1,6
2012-03-11,1,68,0,0,4
2012-03-18,1,88,0,0,18
2012-03-25,2,82,0,0,78
2012-04-01,1,75,0,<1,20
2012-04-08,1,73,0,<1,13
2012-04-15,1,94,0,0,7
2012-04-22,2,85,0,<1,6
2012-04-29,1,88,0,<1,8
2012-05-06,2,86,0,0,11
2012-05-13,1,78,0,<1,12
2012-05-20,1,80,0,<1,8
2012-05-27,1,73,0,0,9
2012-06-03,1,64,0,0,6
2012-06-10,1,55,0,0,5
2012-06-17,1,56,0,<1,5
2012-06-24,<1,56,0,<1,7
2012-07-01,1,56,0,<1,7
2012-07-08,1,54,<1,<1,5
2012-07-15,1,61,0,0,7
2012-07-22,<1,56,0,0,19
2012-07-29,2,47,0,0,9
2012-08-05,1,55,0,0,8
2012-08-12,1,63,0,<1,6
2012-08-19,1,63,0,<1,5
2012-08-26,1,65,0,<1,8
2012-09-02,1,62,0,<1,8
2012-09-09,1,67,0,0,4
2012-09-16,1,65,0,0,3
2012-09-23,<1,71,0,<1,6
2012-09-30,<1,75,0,<1,6
2012-10-07,1,72,0,0,6
2012-10-14,<1,74,0,0,3
2012-10-21,1,80,0,1,4
2012-10-28,<1,75,0,<1,5
2012-11-04,1,79,0,<1,4
2012-11-11,1,72,0,<1,4
2012-11-18,1,66,0,0,3
2012-11-25,1,76,0,0,4
2012-12-02,1,79,<1,<1,3
2012-12-09,<1,74,<1,<1,5
2012-12-16,1,76,0,0,2
2012-12-23,<1,67,0,<1,6
2012-12-30,1,69,0,0,6
2013-01-06,1,76,0,0,5
2013-01-13,<1,74,0,<1,6
2013-01-20,1,76,0,0,4
2013-01-27,1,75,0,0,4
2013-02-03,<1,75,0,<1,7
2013-02-10,1,84,0,0,7
2013-02-17,1,78,0,<1,5
2013-02-24,1,92,0,<1,5
2013-03-03,1,82,0,<1,4
2013-03-10,2,73,0,<1,5
2013-03-17,1,73,0,<1,6
2013-03-24,1,75,0,<1,5
2013-03-31,<1,72,0,0,4
2013-04-07,1,83,0,<1,6
2013-04-14,1,81,0,<1,7
2013-04-21,2,84,0,0,5
2013-04-28,2,82,0,<1,9
2013-05-05,1,85,0,0,8
2013-05-12,1,91,0,<1,7
2013-05-19,0,76,0,<1,6
2013-05-26,1,81,0,<1,9
2013-06-02,1,65,0,<1,7
2013-06-09,1,61,0,<1,7
2013-06-16,<1,53,0,<1,8
2013-06-23,1,55,0,0,6
2013-06-30,<1,60,0,<1,7
2013-07-07,<1,57,0,0,8
2013-07-14,<1,55,0,0,7
2013-07-21,<1,57,0,<1,8
2013-07-28,<1,67,0,0,6
2013-08-04,1,59,0,<1,13
2013-08-11,<1,61,0,0,5
2013-08-18,1,65,0,<1,9
2013-08-25,<1,57,0,<1,7
2013-09-01,<1,67,0,0,5
2013-09-08,<1,66,0,0,5
2013-09-15,1,67,0,<1,3
2013-09-22,<1,71,0,<1,5
2013-09-29,1,77,0,0,4
2013-10-06,<1,74,0,0,5
2013-10-13,1,81,0,<1,5
2013-10-20,2,76,0,<1,5
2013-10-27,1,79,0,<1,4
2013-11-03,1,80,0,0,4
2013-11-10,2,77,0,<1,4
2013-11-17,1,72,0,<1,4
2013-11-24,<1,63,0,0,3
2013-12-01,2,74,0,0,4
2013-12-08,1,88,0,<1,7
2013-12-15,1,74,0,<1,5
2013-12-22,1,77,0,<1,5
2013-12-29,1,75,0,<1,8
2014-01-05,1,78,0,0,5
2014-01-12,1,83,0,<1,6
2014-01-19,1,88,0,<1,4
2014-01-26,1,100,0,<1,6
2014-02-02,1,85,0,0,8
2014-02-09,1,78,0,0,10
2014-02-16,2,82,0,0,4
2014-02-23,1,75,0,<1,5
2014-03-02,1,75,<1,<1,3
2014-03-09,1,81,0,0,5
2014-03-16,2,73,0,<1,4
2014-03-23,1,78,0,0,4
2014-03-30,1,80,0,<1,5
2014-04-06,1,77,0,0,6
2014-04-13,2,72,0,<1,8
2014-04-20,2,78,0,<1,8
2014-04-27,1,85,0,0,14
2014-05-04,1,77,0,0,8
2014-05-11,1,82,0,<1,6
2014-05-18,2,87,0,<1,6
2014-05-25,1,77,0,<1,6
2014-06-01,<1,67,0,0,7
2014-06-08,1,61,0,<1,4
2014-06-15,1,60,0,0,9
2014-06-22,1,64,0,0,5
2014-06-29,<1,53,<1,<1,6
2014-07-06,1,56,0,0,5
2014-07-13,1,53,0,0,7
2014-07-20,1,56,0,<1,5
2014-07-27,1,56,0,<1,5
2014-08-03,1,57,0,<1,8
2014-08-10,1,62,0,<1,6
2014-08-17,1,59,<1,<1,5
2014-08-24,<1,63,<1,<1,5
2014-08-31,<1,67,0,<1,4
2014-09-07,1,63,0,<1,3
2014-09-14,1,74,0,0,8
2014-09-21,1,75,0,<1,5
2014-09-28,1,75,0,<1,4
2014-10-05,<1,76,0,0,5
