Category: Pets & Animals

Week,Woodpeckers: (United States),Flycatcher: (United States),Indiana bat: (United States),Chub: (United States),Sturgeons: (United States)
2012-01-01,30,1,<1,<1,6
2012-01-08,23,2,<1,<1,5
2012-01-15,29,2,<1,1,7
2012-01-22,26,1,1,1,4
2012-01-29,26,3,<1,1,10
2012-02-05,32,2,1,<1,7
2012-02-12,25,3,1,1,9
2012-02-19,25,2,1,1,11
2012-02-26,27,2,<1,<1,7
2012-03-04,31,2,<1,1,7
2012-03-11,35,3,<1,<1,6
2012-03-18,37,4,1,1,23
2012-03-25,38,4,<1,1,100
2012-04-01,35,3,<1,1,25
2012-04-08,42,4,<1,2,17
2012-04-15,40,7,1,1,9
2012-04-22,44,4,1,1,8
2012-04-29,48,5,1,1,10
2012-05-06,45,7,1,2,14
2012-05-13,46,7,<1,1,15
2012-05-20,42,6,1,1,10
2012-05-27,42,7,1,1,11
2012-06-03,32,8,1,1,8
2012-06-10,33,6,1,1,7
2012-06-17,27,4,1,1,7
2012-06-24,27,4,<1,2,9
2012-07-01,24,4,<1,<1,9
2012-07-08,28,5,0,1,6
2012-07-15,24,3,<1,1,9
2012-07-22,18,2,<1,<1,24
2012-07-29,18,4,0,1,12
2012-08-05,19,4,0,1,10
2012-08-12,16,3,0,1,8
2012-08-19,16,4,<1,2,7
2012-08-26,15,2,<1,1,10
2012-09-02,19,3,0,1,10
2012-09-09,24,3,<1,1,6
2012-09-16,24,3,1,1,3
2012-09-23,23,3,<1,1,8
2012-09-30,31,3,<1,1,8
2012-10-07,24,2,1,1,8
2012-10-14,27,1,1,1,4
2012-10-21,30,2,<1,1,5
2012-10-28,22,2,1,1,7
2012-11-04,26,2,1,1,5
2012-11-11,25,2,1,<1,5
2012-11-18,30,2,1,<1,4
2012-11-25,27,3,1,<1,5
2012-12-02,28,2,<1,<1,4
2012-12-09,23,2,<1,1,7
2012-12-16,21,3,<1,<1,3
2012-12-23,29,2,0,<1,7
2012-12-30,33,3,<1,1,7
2013-01-06,25,2,<1,<1,7
2013-01-13,25,3,<1,<1,8
2013-01-20,29,2,<1,1,5
2013-01-27,27,2,1,1,5
2013-02-03,28,2,<1,1,9
2013-02-10,25,1,1,1,9
2013-02-17,28,3,1,1,7
2013-02-24,31,2,<1,<1,6
2013-03-03,31,1,1,1,5
2013-03-10,33,2,<1,1,6
2013-03-17,41,2,1,1,8
2013-03-24,39,3,<1,1,7
2013-03-31,36,2,1,<1,5
2013-04-07,41,4,<1,2,7
2013-04-14,37,4,<1,1,9
2013-04-21,55,7,<1,1,7
2013-04-28,52,5,1,2,11
2013-05-05,46,5,1,1,10
2013-05-12,47,7,0,1,9
2013-05-19,42,7,1,1,8
2013-05-26,43,9,1,1,12
2013-06-02,39,6,<1,1,9
2013-06-09,40,6,<1,1,9
2013-06-16,28,6,<1,1,10
2013-06-23,27,4,<1,1,8
2013-06-30,31,5,1,2,8
2013-07-07,25,4,<1,1,10
2013-07-14,22,4,<1,2,9
2013-07-21,19,4,0,1,10
2013-07-28,26,3,<1,1,7
2013-08-04,19,3,<1,1,17
2013-08-11,18,2,<1,1,6
2013-08-18,18,2,1,2,12
2013-08-25,15,3,1,<1,9
2013-09-01,20,2,<1,1,7
2013-09-08,20,5,1,1,6
2013-09-15,20,3,1,1,4
2013-09-22,22,2,1,1,7
2013-09-29,24,3,1,2,5
2013-10-06,22,3,<1,1,7
2013-10-13,26,3,<1,1,7
2013-10-20,26,3,1,1,6
2013-10-27,23,3,1,1,5
2013-11-03,21,3,<1,1,5
2013-11-10,25,2,<1,1,5
2013-11-17,22,4,1,1,6
2013-11-24,28,3,1,1,4
2013-12-01,24,3,<1,<1,5
2013-12-08,25,2,<1,<1,9
2013-12-15,21,3,<1,1,6
2013-12-22,27,1,0,<1,7
2013-12-29,26,2,<1,1,11
2014-01-05,29,2,<1,1,6
2014-01-12,24,2,<1,1,8
2014-01-19,35,2,1,1,5
2014-01-26,28,3,<1,<1,7
2014-02-02,32,3,<1,1,10
2014-02-09,31,3,<1,2,13
2014-02-16,31,2,1,<1,6
2014-02-23,34,3,1,2,7
2014-03-02,34,4,1,1,4
2014-03-09,37,3,1,1,6
2014-03-16,34,2,<1,1,5
2014-03-23,36,2,1,1,6
2014-03-30,40,3,<1,1,7
2014-04-06,43,5,1,1,8
2014-04-13,42,6,1,1,10
2014-04-20,53,6,<1,1,10
2014-04-27,52,5,<1,1,17
2014-05-04,54,9,<1,1,10
2014-05-11,51,8,1,1,8
2014-05-18,55,8,<1,1,7
2014-05-25,53,7,<1,1,8
2014-06-01,37,7,<1,1,8
2014-06-08,36,7,<1,1,6
2014-06-15,31,5,<1,2,11
2014-06-22,30,6,1,2,6
2014-06-29,27,6,<1,1,7
2014-07-06,24,5,1,2,7
2014-07-13,23,6,<1,1,9
2014-07-20,23,5,1,2,7
2014-07-27,22,4,<1,1,6
2014-08-03,20,3,1,1,10
2014-08-10,22,2,<1,1,8
2014-08-17,17,4,1,2,7
2014-08-24,17,3,<1,1,6
2014-08-31,18,4,1,1,5
2014-09-07,22,3,<1,2,4
2014-09-14,21,3,<1,1,10
2014-09-21,21,5,<1,1,6
2014-09-28,22,2,<1,<1,5
2014-10-05,29,2,<1,1,6
2014-10-12,27,3,1,1,5
2014-10-19,30,2,1,1,4
2014-10-26,32,3,1,1,4
2014-11-02,25,1,<1,1,5
2014-11-09,30,3,<1,1,6
2014-11-16,26,3,1,<1,5
2014-11-23,28,1,<1,<1,5
2014-11-30,24,4,1,1,6
2014-12-07,27,3,1,1,6
2014-12-14,23,4,<1,<1,4
2014-12-21,29,2,0,1,5
2014-12-28,32,4,<1,1,9
