Category: Pets & Animals

Week,Chinook salmon: (United States),Sockeye salmon: (United States),Coho salmon: (United States),Gnatcatcher: (United States),Sturgeons: (United States)
2012-01-01,<1,<1,0,0,6
2012-01-08,<1,0,<1,0,5
2012-01-15,<1,0,0,0,7
2012-01-22,0,<1,<1,<1,4
2012-01-29,0,<1,0,<1,10
2012-02-05,<1,0,0,0,7
2012-02-12,1,<1,0,0,9
2012-02-19,0,<1,<1,<1,11
2012-02-26,1,<1,<1,0,7
2012-03-04,0,<1,0,1,7
2012-03-11,0,<1,<1,0,6
2012-03-18,0,<1,1,<1,23
2012-03-25,<1,0,<1,<1,100
2012-04-01,<1,<1,0,0,25
2012-04-08,<1,0,<1,0,17
2012-04-15,<1,0,<1,<1,9
2012-04-22,<1,<1,0,<1,8
2012-04-29,<1,<1,0,<1,10
2012-05-06,0,<1,0,<1,14
2012-05-13,<1,0,0,0,15
2012-05-20,0,<1,0,<1,10
2012-05-27,<1,0,0,<1,11
2012-06-03,0,<1,0,<1,8
2012-06-10,1,0,<1,<1,7
2012-06-17,1,<1,0,<1,7
2012-06-24,0,<1,0,<1,9
2012-07-01,<1,0,0,0,9
2012-07-08,0,0,0,<1,6
2012-07-15,<1,<1,<1,0,9
2012-07-22,0,0,<1,<1,24
2012-07-29,0,<1,0,<1,12
2012-08-05,<1,0,0,0,10
2012-08-12,0,<1,0,<1,8
2012-08-19,0,<1,0,<1,7
2012-08-26,<1,0,0,0,10
2012-09-02,0,0,<1,0,10
2012-09-09,<1,0,0,<1,6
2012-09-16,<1,0,<1,<1,3
2012-09-23,0,<1,<1,<1,8
2012-09-30,<1,0,<1,<1,8
2012-10-07,<1,0,0,<1,8
2012-10-14,0,0,<1,<1,4
2012-10-21,0,<1,0,0,5
2012-10-28,<1,<1,0,0,7
2012-11-04,<1,0,<1,0,5
2012-11-11,0,0,0,<1,5
2012-11-18,0,0,0,0,4
2012-11-25,1,0,0,<1,5
2012-12-02,<1,0,0,<1,4
2012-12-09,0,<1,<1,0,7
2012-12-16,<1,0,0,0,3
2012-12-23,0,<1,0,0,7
2012-12-30,<1,0,0,<1,7
2013-01-06,<1,0,0,0,7
2013-01-13,<1,<1,<1,0,8
2013-01-20,0,0,0,<1,5
2013-01-27,<1,0,0,<1,5
2013-02-03,<1,0,0,0,9
2013-02-10,0,0,0,0,9
2013-02-17,1,<1,0,<1,7
2013-02-24,<1,<1,<1,<1,6
2013-03-03,0,0,<1,<1,5
2013-03-10,0,0,0,<1,6
2013-03-17,<1,<1,0,<1,8
2013-03-24,0,0,0,<1,7
2013-03-31,<1,<1,<1,<1,5
2013-04-07,0,<1,0,0,7
2013-04-14,0,0,<1,<1,9
2013-04-21,<1,0,<1,0,7
2013-04-28,<1,0,0,<1,11
2013-05-05,0,<1,<1,<1,10
2013-05-12,<1,<1,0,0,9
2013-05-19,0,<1,0,<1,8
2013-05-26,<1,0,0,0,12
2013-06-02,1,0,0,<1,9
2013-06-09,<1,<1,0,<1,9
2013-06-16,<1,<1,0,<1,10
2013-06-23,<1,0,0,<1,8
2013-06-30,0,<1,0,<1,8
2013-07-07,<1,<1,<1,<1,10
2013-07-14,<1,0,<1,<1,9
2013-07-21,0,<1,0,1,10
2013-07-28,1,0,<1,<1,7
2013-08-04,<1,0,<1,<1,17
2013-08-11,<1,0,0,<1,6
2013-08-18,<1,0,<1,<1,12
2013-08-25,<1,0,0,0,9
2013-09-01,<1,0,0,0,7
2013-09-08,0,0,<1,1,6
2013-09-15,<1,0,<1,0,4
2013-09-22,0,0,0,0,7
2013-09-29,<1,0,0,<1,5
2013-10-06,<1,0,0,<1,7
2013-10-13,<1,0,<1,0,7
2013-10-20,<1,0,<1,<1,6
